FieldName,FieldType,Length,Required,Indexed,DefaultValue,TabName,Validation,Description
DocNo,Integer,0,true,true,,General,,"Número de documento (obligatorio)"
DocDate,Date,0,true,true,,General,,"Fecha del documento"
Subject,String,255,true,false,,General,,"Asunto o título del documento"
Description,String,1000,false,false,,General,,"Descripción detallada"
Status,SingleKeyword,50,true,false,Pendiente,General,"Pendiente|En Proceso|Completado|Cancelado","Estado actual del documento"
Priority,SingleKeyword,20,false,false,Normal,General,"Baja|Normal|Alta|Urgente","Prioridad del documento"
Category,SingleKeyword,100,false,false,,Classification,,"Categoría del documento"
Department,SingleKeyword,100,false,true,,Classification,,"Departamento responsable"
AssignedTo,String,100,false,false,,Assignment,,"Persona asignada"
DueDate,Date,0,false,false,,Assignment,,"Fecha de vencimiento"
Amount,Money,0,false,false,,Financial,,"Importe o monto"
Currency,SingleKeyword,10,false,false,EUR,Financial,"EUR|USD|GBP","Moneda"
InvoiceNumber,String,50,false,true,,Financial,,"Número de factura"
Supplier,String,200,false,true,,Financial,,"Proveedor"
Notes,String,2000,false,false,,Additional,,"Notas adicionales"
Tags,MultipleKeyword,500,false,false,,Additional,,"Etiquetas (separadas por comas)"
CreatedBy,String,100,false,false,,Metadata,,"Usuario que creó el documento"
CreatedDate,DateTime,0,false,false,,Metadata,,"Fecha y hora de creación"
ModifiedBy,String,100,false,false,,Metadata,,"Último usuario que modificó"
ModifiedDate,DateTime,0,false,false,,Metadata,,"Última fecha de modificación"
